
____________________________________________________________________________________________________________________________________
| ID  ||                       COMPRA                       ||                       VENTA                        ||   RESULTADO   |
|     ||     Monto      ||     Precio     ||  Fecha y Hora  ||     Monto      ||     Precio     ||  Fecha y Hora  ||               |
------------------------------------------------------------------------------------------------------------------------------------
| 98  ||     85.14      ||    41233.54    ||03:15 14-04-2022||     84.84      ||    41167.77    ||04:05 14-04-2022|| -0.31 ||-0.36% |
| 99  ||     84.84      ||    41237.34    ||05:35 14-04-2022||     84.52      ||    41167.11    ||06:00 14-04-2022|| -0.31 ||-0.37% |
| 100 ||     84.52      ||    41140.00    ||06:15 14-04-2022||     84.23      ||    41077.35    ||06:25 14-04-2022|| -0.30 ||-0.35% |
| 101 ||     84.23      ||    41172.01    ||07:20 14-04-2022||     83.88      ||    41086.08    ||07:35 14-04-2022|| -0.34 ||-0.41% |
| 102 ||     83.88      ||    41206.48    ||10:25 14-04-2022||     83.49      ||    41093.90    ||10:40 14-04-2022|| -0.40 ||-0.47% |
| 103 ||     83.49      ||    40191.53    ||08:45 15-04-2022||     83.13      ||    40097.64    ||10:05 15-04-2022|| -0.36 ||-0.43% |
| 104 ||     83.13      ||    40281.37    ||13:15 15-04-2022||     83.56      ||    40572.13    ||14:05 15-04-2022|| 0.43  || 0.52% |
| 105 ||     83.56      ||    40413.15    ||14:45 15-04-2022||     83.13      ||    40284.18    ||17:20 15-04-2022|| -0.43 ||-0.52% |
| 106 ||     83.13      ||    40293.49    ||17:25 15-04-2022||     83.22      ||    40420.11    ||18:10 15-04-2022|| 0.09  || 0.11% |
| 107 ||     83.22      ||    40423.60    ||19:05 15-04-2022||     83.33      ||    40557.14    ||20:40 15-04-2022|| 0.11  || 0.13% |
| 108 ||     83.33      ||    40486.71    ||21:15 15-04-2022||     83.43      ||    40617.14    ||22:15 15-04-2022|| 0.10  || 0.12% |
| 109 ||     83.43      ||    40438.23    ||00:20 16-04-2022||     83.14      ||    40377.04    ||05:30 16-04-2022|| -0.29 ||-0.35% |
| 110 ||     83.14      ||    40412.78    ||10:30 16-04-2022||     82.86      ||    40359.48    ||12:10 16-04-2022|| -0.28 ||-0.33% |
| 111 ||     82.86      ||    40466.74    ||19:40 16-04-2022||     82.49      ||    40368.85    ||21:10 16-04-2022|| -0.37 ||-0.44% |
| 112 ||     82.49      ||    40360.08    ||21:30 16-04-2022||     82.18      ||    40285.87    ||23:25 16-04-2022|| -0.32 ||-0.38% |
| 113 ||     82.18      ||    40333.46    ||03:25 17-04-2022||     81.92      ||    40287.40    ||04:35 17-04-2022|| -0.26 ||-0.31% |
| 114 ||     81.92      ||    40358.53    ||05:45 17-04-2022||     81.95      ||    40454.21    ||06:05 17-04-2022|| 0.03  || 0.04% |
| 115 ||     81.95      ||    40419.82    ||06:55 17-04-2022||     81.70      ||    40375.36    ||08:20 17-04-2022|| -0.25 ||-0.31% |
| 116 ||     81.70      ||    40407.12    ||08:25 17-04-2022||     81.68      ||    40481.60    ||10:15 17-04-2022|| -0.01 ||-0.02% |
| 117 ||     81.68      ||    40646.01    ||15:55 18-04-2022||     82.50      ||    41132.45    ||10:40 19-04-2022|| 0.81  || 0.99% |
| 118 ||     82.50      ||    41441.59    ||12:35 19-04-2022||     82.04      ||    41296.17    ||14:05 19-04-2022|| -0.45 ||-0.55% |
